文献层级,文献信息,DOI,样本量及样本特征,暴露因素,影像方法,主要研究目的及相应的结果,其他测量/结局,comment
2-肺癌原始研究,Xu XZ 等 (2026). Respir Med,10.1016/j.rmed.2026.108699,n=340（170例新发肺癌患者与170例年龄性别匹配非癌对照）；安徽两省公立医院2023年9月–2024年3月；数据为治疗前基线（尚未开始系统治疗）。,治疗前横断面；无化疗、放疗或靶向「治疗后」暴露,未使用神经影像,目的：识别新发肺癌患者治疗前感知认知损害及相关因素。结果：患者FACT-Cog总分及分量表显著低于对照；患者自述认知损害患病率15.3%高于对照6.5%；疲劳、性别、年龄与抑郁为显著预测因子（模型解释约54.5%方差）。,中文版FACT-Cog；社会人口学与临床问卷；癌症相关症状,
2-肺癌原始研究,Luo J 等 (2023). Asia Pac J Oncol Nurs,10.1016/j.apjon.2023.100200,n=378例中国肺癌患者；2021年10月–2022年7月横断面。摘要统称肺癌未写病理分型。,未在摘要中区分化疗、放疗或靶向治疗暴露,未使用神经影像,目的：探讨疼痛–疲劳–睡眠–抑郁症状群与肺癌CRCI的关联并识别其他影响因素。结果：潜类别得到高、低症状负担两组；高负担组CRCI优势比 crude 约10.1、调整后模型约5.5；病程超过6个月、焦虑、休闲活动少、高PLR等与CRCI相关。,PCI量表；GAD-7；BFI、BPI、PHQ-9、AIS；血小板–淋巴细胞比,
2-肺癌原始研究,Eggen AC 等 (2021). Neurooncol Pract,10.1093/nop/npab056,n=238例受邀中77例完成评估；转移性非小细胞肺癌（mNSCLC）；中位年龄62岁；41例（53%）脑转移；23例（29%）接受过颅脑照射。,颅脑照射与客观认知损害关联有报告；全身化疗或靶向药未在摘要中作为主要多变量暴露逐一列出,摘要未报告脑结构或功能影像；神经心理学与自评,目的：描述mNSCLC患者客观认知损害与认知担忧的频率及相关因素以指导康复策略。结果：40%符合ICCTF客观认知损害、26%存在临床显著认知担忧；两者可并存但严重度互不相关；客观损害与颅脑照射相关；认知担忧与疾病侵扰感及自尊相关。,成套神经心理测验；FACT-Cog PCI；抑郁、士气低落、自尊、躯体症状等问卷,
2-肺癌原始研究,Soria-Comes T 等 (2020). Transl Cancer Res,10.21037/tcr-20-1997,n=70例≥70岁非小细胞肺癌（NSCLC）回顾性分析（2017年1月–2019年4月）；认知正常60例、认知损害10例。,摘要未强调当前或既往化疗、放疗、靶向药作为分组暴露；关注免疫与认知关系,未使用神经影像,目的：比较老年NSCLC患者不同认知状态下的外周免疫参数。结果：认知损害组总T细胞、T细胞与CD8+T细胞计数显著更低；T细胞水平与认知损害风险相关；提示除年龄外免疫状态与认知相关。,Pfeiffer简易认知测验；淋巴细胞亚群与计数；临床协变量,
2-肺癌原始研究,Ma Y 等 (2023). EClinicalMedicine,10.1016/j.eclinm.2023.101987,n=908例入组，倾向评分匹配后1:1共292对；中国三家三甲医院；非小细胞肺癌（NSCLC）；排除脑转移或严重影响认知的疾病；2020.3–2021.3。,免疫检查点抑制剂（ICI）单药治疗组 vs 非ICI对照（倾向评分匹配基线变量）,未使用脑影像,目的：评估ICI单药是否与认知不良事件相关。结果：ICI组多个神经心理成套分测验在6月与12月随访较对照下降更显著（如连线测验12月达认知缺损诊断阈值）；FACT-Cog PCI在3、6、12月等随访显著低于对照；感知认知下降事件发生率与患病率ICI组更高；免疫相关不良事件与感知认知下降发生相关。,神经心理成套测验（NBT）；FACT-Cog PCI；生活质量协变量调整；Kaplan-Meier与log-rank,
2-肺癌原始研究,Zhu X 等 (2025). Compr Psychoneuroendocrinol,10.1016/j.cpnec.2025.100330,肺癌幸存者纵向队列；FACT-Cog与TICS-M多时点：T0为化疗用药前，T1–T5为第一至第五周期化疗后；线性混合模型分析；摘要未报告最终n。,化疗 vs 化疗联合免疫（chemoimmunotherapy）亚组比较：摘要报告两组FACT-Cog/TICS-M差异无统计学意义（p>0.05）,未使用脑影像,目的：刻画肺癌幸存者CRCI纵向轨迹并识别影响因素。结果：教育程度更高、治疗进程更晚与TICS-M升高相关；农村居住与合并症多与FACT-Cog降低相关；治疗进程与TICS-M改善相关；主观FACT-Cog相对稳定而客观TICS-M略升，主客观不一致。,FACT-Cog；TICS-M；人口学与临床协变量,
2-肺癌原始研究,Zheng F 等 (2025). Support Care Cancer,10.1007/s00520-025-09821-y,n=304例老年肺癌化疗患者；2024年1–8月成都某三甲医院横断面。,正在接受化疗（入组即化疗情境）；摘要未区分放疗或靶向,未使用神经影像,目的：调查老年肺癌化疗患者认知衰弱（cognitive frailty）患病率及影响因素。结果：认知衰弱患病率26.3%；多因素logistic显示年龄、人均月收入、就业、医保类型、分期、焦虑、抑郁、营养风险与每日运动时长等独立相关。,一般资料问卷；FRAIL量表；MMSE；HADS；NRS 2002,
2-肺癌原始研究,Son SH 等 (2023). Nucl Med Commun,10.1097/MNM.0000000000001686,n=102例肺癌随机子样本，排除脑转移5例后n=97纳入分析；平均年龄约67.7±10.3岁；治疗前同时完成肺功能与脑FDG PET；韩国。,治疗前横断面；抗肿瘤治疗尚未开始,18F-FDG PET：额顶颞枕皮层及认知相关区域SUV与全脑SUV比值（SUVR）；摘要未写PET采集层厚或重建细节,目的：探讨肺癌患者肺功能与脑葡萄糖代谢及认知的关系。结果：FVC与FEV1占预计值百分比与校正后各脑区FDG SUVR正相关；肺功能下降所致SUVR降低在认知相关区与其他区差异不显著；作者解读为全脑代谢降低可能与灌注下降相关的认知风险。,肺功能（FVC、FEV1 % pred）；临床协变量调整,
2-肺癌原始研究,Zeng H 等 (2025). Lung Cancer,10.1016/j.lungcan.2024.108036,两项III期试验NCT01780675与PREMER合并个体数据；共318例局限期SCLC随机；海马回避（HA）-PCI vs 常规PCI；中位随访约41.7月；多国多中心。,颅脑预防照射：HA-PCI vs PCI；结局含自评认知与脑转移,增强脑MRI于基线至随访24月；摘要未写序列层厚细节,目的：比较HA-PCI与常规PCI对自评认知功能及海马回避区内脑转移发生的影响。结果：纵向GEE示HA-PCI对自评认知功能及认知损害（SCRF<75）无显著影响；两组脑转移发生率及海马区内转移灶数量差异无统计学意义；结论为HA-PCI未改善纵向自评认知亦未增加海马区BM风险。,自评认知功能（SCRF）；MRI监测脑转移；临床试验登记号见原文,
2-肺癌原始研究,Shin JW 等 (2024). Qual Life Res,10.1007/s11136-023-03578-9,n=21例成人肺癌患者半结构访谈至资料饱和；韩国；质性内容分析。,治疗史包括手术+辅助全身治疗、同步放化疗、放射外科等亚组叙述比较,不适用,目的：探讨肺癌患者治疗结束后癌因性疲乏（CRF）体验及影响因素。结果：归纳五主题含能量耗竭、情绪、神经血管与感觉改变、认知损害及个人与社会隔离等；CRF随时间多改善但情绪疲乏可超过6月持续；不同治疗模式疲乏特征不同。,病历电子记录三角验证；主题分析法,
2-肺癌原始研究,Naftali J 等 (2024). Int J Stroke,10.1177/17474930231217670,以色列Clalit健康档案：诊断后5年内接受脑MRI-DWI的成人；肺癌组2056次MRI扫描、非肺癌对照组（乳腺/胰腺/结肠）1598次扫描；回顾性人群研究。,癌症类型（肺癌 vs 非肺癌）为主要分析因素；非针对化疗/放疗/靶向暴露分层,MRI扩散加权成像（DWI）检出脑微梗死（CMI）；摘要未报告扫描仪场强与层厚参数,目的：比较肺癌与非肺癌患者DWI可检出CMI发生率及其累积风险。结果：肺癌组3.5%扫描存在CMI（73/2056）高于非肺癌组1.4%（22/1598）；多因素分析仅癌种与CMI相关；估算肺癌患者CMI年发生率约2.5/年 vs 非肺癌约0.5/年；讨论提示CMI或可作为隐匿脑缺血、认知下降与癌相关卒中风险的标志。,心血管危险因素记录；影像复核,
2-肺癌原始研究,Mancuso A 等 (2006). Ann Oncol,10.1093/annonc/mdj038,n=42例连续入组老年肺癌患者接受化疗；基线及每周期后评估至少至第2周期；意大利罗马。,化疗相关贫血动态变化；部分患者使用促红细胞生成素（EPO）,未使用神经影像,目的：探讨化疗相关贫血与老年肺癌患者综合老年评估（含认知）指标关系。结果：血红蛋白较高与MMSE、ADL/IADL、GDS、CIRS、VAS等更优相关；多数指标改善与Hb升高同步；使用EPO者Hb上升伴各指标改善，未用EPO者Hb下降伴指标恶化。,MMSE；ADL/IADL；GDS；CIRS；VAS；Hb动态,
2-肺癌原始研究,Lau BHP 等 (2020). J Psychosoc Oncol,10.1080/07347332.2020.1722981,RCT；157对肺癌患者-照料者二元组；中国香港；八周平行小组干预；随机至整合身心干预（I-BMS）或认知行为治疗（CBT）。,心理社会干预类型（I-BMS vs CBT）；非抗肿瘤药物暴露比较,不适用,目的：比较两种干预对患者与照料者结局的效果。结果：CBT更降低情绪脆弱性；I-BMS在总体生活质量、灵性自我关怀与抑郁改善更优；两组在身体、情绪与灵性生活质量域均有改善；认知结局非摘要首要报告重点。,多层模型；基线与干预后多次评估,
2-肺癌原始研究,Shin DW 等 (2019). J Thorac Oncol,10.1016/j.jtho.2018.10.158,韩国全国链接数据库回顾队列；13591例残疾人士肺癌与43809例匹配非残疾对照。,残疾类型与严重程度（含沟通/脑-精神残疾等）为暴露；治疗手段为结局变量,不适用,目的：比较残疾与非残疾肺癌患者分期、治疗与生存差异。结果：严重残疾者未知分期比例更高；手术、化疗与放疗接受率更低（aOR<1）；沟通或脑/精神严重残疾者治疗差距最大；校正后死亡风险轻度升高；为卫生服务公平性证据，非CRCI专篇。,NHIS-癌症登记链接数据；logistic与Cox,
2-肺癌原始研究,Simó M 等 (2018). Neuroimage Clin,10.1016/j.nicl.2017.12.032,n=17例SCLC化疗后约1月（C+）、15例NSCLC化疗前（C-）与18名健康对照；年龄性别教育匹配；西班牙巴塞罗那。,SCLC化疗后 vs NSCLC化疗前 vs 健康对照；跨病理类型比较 performance monitoring,未使用MRI；事件相关电位（ERP）Flanker与停止信号任务,目的：探讨肺癌人群错误相关负波（ERN）与 performance monitoring 是否异常及与化疗关系。结果：约20–30%两肺癌组符合认知损害标准；肺癌患者正确率低且ERN振幅较健康对照显著降低；提示癌症本身及化疗可能与 performance monitoring 异常有关；ERN或为敏感客观指标。,神经心理学评估；ERP,
2-肺癌原始研究（病例与文献）,Mandilaras V 等 (2013). Front Pharmacol,10.3389/fphar.2013.00048,老年肿瘤诊所两例描述：75岁男性III期NSCLC诉卡铂–紫杉醇后健忘；65岁女性乳腺癌辅助化疗后等；附CRCI文献简述。,化疗（卡铂–紫杉醇方案等）；非对照研究,未使用脑影像,目的：通过病例说明老年癌症患者治疗相关认知障碍并简述文献。结果：以个案展示化疗后主诉认知下降；回顾性指出前瞻性试验已显示化疗后特定认知域损害。,临床病例叙述,
2-肺癌原始研究,Chen YX 等 (2026). Support Care Cancer,10.1007/s00520-026-10600-6,质性研究；n=20例癌症住院患者；中国三级医院；平均年龄约56.85岁；以乳腺癌与肺癌为主（11女9男）。,失眠与CRCI共病体验；归因含化疗或年龄等；中西医结合自我管理语境,不适用,目的：探讨失眠合并CRCI患者的体验与整合自我管理策略。结果：三主题：症状群复合体验；多因素归因影响应对；治疗十字路口上主动寻求平衡与控制；呼吁文化适切支持照护。,半结构访谈；Braun-Clarke主题分析,
2-肺癌原始研究,Eggen AC 等 (2020). J Pain Symptom Manage,10.1016/j.jpainsymman.2020.02.023,mNSCLC门诊横断面试点；n=78；中位年龄62岁；中位诊断后约11月；53%脑转移；加拿大与荷兰参与中心。,脑转移存在与否（分层分析未见组间死亡焦虑或主客观认知显著差异）；抗肿瘤治疗细节未作为主要回归暴露列出,未使用脑影像,目的：识别与死亡焦虑相关的心理、躯体及疾病因素（含脑转移与认知）。结果：43%至少中度死亡焦虑；客观认知损害41%、主观27%；脑转移与否在死亡焦虑与认知指标上无显著差异；多因素示士气低落与疾病侵扰感与死亡焦虑相关。,神经心理测验组合z分；死亡焦虑、认知担忧、抑郁、自尊等量表,
2-肺癌原始研究,Chai J 等 (2024). Future Oncol,10.1080/14796694.2024.2428586,RCT；n=153例NSCLC；中国；CALM干预6次/12周对比常规照护。,CALM心理干预 vs 常规照护；非化疗药物比较,不适用,目的：评估CALM对癌因性疲乏、生活质量与心率变异性的影响。结果：干预组总体与行为、情绪、感觉及认知维度CRF及QoL随疗程显著改善；SDNN与HF升高；CRF与HRV及QoL相关；认知疲乏为分量表结局之一。,CRF量表；QoL；HRV,
2-肺癌原始研究,van Oosterhout AG 等 (1995). Int J Radiat Oncol Biol Phys,10.1016/0360-3016(94)00579-6,n=32例连续SCLC；排除脑转移；荷兰；治疗含预防性全脑照射（PCI）前后系列神经心理学随访至PCI后约5月并与匹配对照比较。,PCI及全身治疗序列内纵向观察；摘要未单独分离化疗效应,无神经影像；神经心理学测验,目的：观察SCLC患者治疗相关认知功能动态。结果：治疗前患者神经心理表现已显著差于对照；治疗期及之后5月内未见显著进一步恶化；作者解读提示病相关认知损害；强调神经毒性研究需治疗前基线。,神经系统查体；成套神经心理测验,
2-肺癌原始研究,Tang Y 等 (2024). J Neurosci Res,10.1002/jnr.25256,n=45例右利手肺癌伴骨转移痛（BMP+）、37例无骨转移痛肺癌（BMP-）与45名健康对照；中国重庆。,骨转移痛表型（BMP+ vs BMP-）为主要分组；非化疗暴露主分析,基于体素的形态学（VBM）与静息态功能连接；摘要未写明MRI场强与层厚,目的：探讨骨转移痛对肺癌患者灰质体积与功能网络的影响。结果：BMP+较健康对照内侧额回与右中颞回GMV降低；较BMP-小脑与左舌回GMV降低；右MTG灰质与焦虑正相关；BMP+较对照增强MFG/右MTG与小脑间FC；讨论与疼痛调控及情绪认知处理相关。,焦虑评分；Pearson相关；ROC探索,
3-肺癌综述,Hou T 等 (2024). Eur J Oncol Nurs,10.1016/j.ejon.2024.102657,纳入17项观察性研究；对象为肺癌患者认知损害相关因素研究（具体病理类型与样本量分布见原文）。,综述归纳的治疗相关因素包括颅脑照射、化疗、叶切除、术后谵妄及用药等（来自纳入文献）,综述转述纳入研究中有默认网络连接改变等神经影像发现；非本综述新采集数据,目的：系统综述肺癌患者认知损害的相关因素。结果：归纳20类相关因素涵盖心理、生活方式与功能、医疗治疗与神经免疫等维度。,Newcastle–Ottawa质量评价；多数据库检索至2024年1月,
3-肺癌综述,Ye L 等 (2024). Support Care Cancer,10.1007/s00520-024-08873-w,9项研究共约1305例肺癌患者；质量为高或中等。,Meta分析显示颅脑照射为危险因素；其他治疗类型未在摘要OR中逐项报告,不适用（系统综述与Meta）,目的：系统识别肺癌患者CRCI的危险因素并定量合并。结果：高龄、颅脑照射、焦虑与症状群负担OR升高；体力活动为保护因素。,AHRQ与NOS评价；RevMan 5.4合并OR,
3-肺癌综述,Ho MH 等 (2024). Support Care Cancer,10.1007/s00520-024-08402-9,12项研究共1934名肺癌幸存者；均为低偏倚风险。,治疗因素在讨论中间接涉及；摘要重点非单一治疗暴露估计,不适用（系统综述与比例Meta）,目的：合并肺癌幸存者CRCI患病率并总结评估工具。结果：合并CRCI患病率约26%；约33%纳入研究使用ICCTF标准；地区与异质性相关；未提示小样本发表偏倚。,ICCTF等工具使用情况；亚组、meta回归与留一法分析,
3-肺癌综述,Sun H 等 (2019). BMC Cancer,10.1186/s12885-019-6426-2,系统综述与Meta分析；最终纳入14项研究共约1404例老年肺癌患者手术麻醉相关认知；多数研究在亚洲人群。,全身麻醉药物比较：丙泊酚 vs 七氟醚（术后认知结局）,不适用,目的：比较丙泊酚与七氟醚麻醉对老年肺癌患者术后认知功能的影响。结果：Meta显示术后多个时点MMSE丙泊酚组更差；术后24h血清S100β丙泊酚组更高；作者结论为丙泊酚较七氟醚对术后认知不利影响更大。,MMSE；血清S100β；随机或前瞻性队列文献,
3-肺癌综述,Zhang Z 等 (2025). Front Aging Neurosci,10.3389/fnagi.2025.1550319,叙述性综述；汇总MRI等神经影像文献，分COPD、COVID-19、肺癌与其他肺病四类讨论。,综述指出肺癌患者脑改变多与放化疗神经毒性相关；癌痛患者运动与视觉网络功能连接改变等,以MRI为主的多研究综合；非统一原始采集参数,目的：从神经影像角度总结肺疾病相关脑结构与功能改变及肺–脑轴概念。结果：归纳不同肺病脑改变模式；指出肺癌部分研究强调放化疗所致皮层下结构损害等局限包括样本小、缺少纵向与可靠生物标志物等。,文献综述,
3-肺癌综述,Cerulla Torrente N 等 (2020). J Cancer Surviv,10.1007/s11764-020-00870-2,PRISMA综述；纳入59项（47项化疗与认知纵向研究+12项危险因素/影像/治疗相关综述）；检索2004–2019；覆盖非CNS多癌种含肺癌。,以化疗相关CRCI为主；亦讨论影像与治疗干预文献,神经影像部分为纳入文献的综合叙述,目的：更新非CNS癌症患者化疗相关CRCI的发生率、认知模式、影像发现及与衰老关系并讨论方法学局限。结果：多数研究示化疗后认知损害；乳腺文献最多亦有肺、结直肠、睾丸癌等；影像示结构与激活改变；非药物治疗可改善认知与生活质量。,MEDLINE与Scopus；PRISMA,
3-肺癌综述,Rovito MJ 等 (2025). Cancer Med,10.1002/cam4.71383,范围综述（scoping review）；纳入29项研究；覆盖结直肠、睾丸、肺、前列腺与血液肿瘤等；排除乳腺癌专篇。,综述按癌种与治疗方式讨论化疗、放疗、激素等贡献,提及需更敏感工具与神经影像；非本综述新采集,目的：梳理非乳腺癌人群CRCI证据缺口。结果：认知下降严重度与持续时间因癌种与治疗而异；MMSE等对细微改变敏感性不足；样本小与自报偏倚限制非乳腺CRCI刻画；呼吁纵向与先进神经影像。,文献范围综述方法,
3-肺癌综述,Montrone M 等 (2023). J Clin Med,10.3390/jcm12051833,叙述综述；聚焦老年NSCLC与免疫检查点抑制剂（ICI）；意大利等多中心视角。,ICI在老年/合并症人群的应用与免疫衰老；与化疗毒性对比的临床语境,不适用,目的：综述老年NSCLC免疫治疗生物学与临床证据。结果：讨论合并症、器官功能与认知恶化等使老年治疗复杂化；ICI相对化疗毒性较低但在超高龄获益可能减弱；与免疫衰老相关；非CRCI专篇但提及认知恶化作为治疗挑战之一。,文献综合,
3-肺癌综述,Attili I 等 (2024). Cancers (Basel),10.3390/cancers16132457,叙述性对比ALEX与CROWN试验；一线ALK阳性NSCLC；alectinib vs lorlatinib间接比较。,ALK-TKI（alectinib vs lorlatinib）颅内疗效与毒性谱,引用试验中BICR颅内评估等；非新采集影像,目的：对比两种一线ALK抑制剂疗效与安全性差异。结果：lorlatinib在PFS与颅内完全缓解率等数值上更优；特殊毒性包括血脂、外周水肿与认知相关不良反应；作者认为lorlatinib疗效更高且总体毒性可管理。,三期试验公开数据二次分析,
3-肺癌综述,Fabbri L 等 (2023). Diagnostics (Basel),10.3390/diagnostics14010048,叙述性临床评述；lorlatinib在ALK与ROS1阳性NSCLC中的定位与毒性。,第三代ALK-TKI lorlatinib；颅内活性与神经不良反应语境,讨论血脑屏障穿透与颅内疗效；非原始影像采集,目的：批判性总结lorlatinib从研发到临床应用的获益与弱点。结果：强调神经不良反应与认知安全顾虑为临床应用主要张力；与耐药及二线选择困境一并讨论。,文献与试验数据综合,
3-肺癌综述,Fallet V 等 (2022). Bull Cancer,10.1016/j.bulcan.2022.01.011,法语专家共识式综述；多学科小组基于文献与经验提出lorlatinib中枢不良反应管理要点。,ALK阳性晚期NSCLC的lorlatinib治疗,强调临床筛查工具需求；非影像研究,目的：总结lorlatinib相关CNS不良反应（含认知、言语与情绪）的流行病学与实践管理建议。结果：文献报道神经精神不良反应近约40%且多为轻中度；提出筛查评估、副作用处理与预防的临床实践要素。,多学科专家意见与文献,
其他（AD睡眠）,Brzecka A 等 (2018). Front Neurosci,,阿尔茨海默病相关睡眠障碍迷你综述。,AD病理与睡眠,不适用,目的：概述AD患者睡眠紊乱与认知及预后关系。结果：讨论睡眠呼吸障碍、RLS与类淋巴清除等；非肺癌。,文献综合,
其他（副肿瘤神经）,Gong S 等 (2022). Front Immunol,,个案报道；56岁男性；副肿瘤性边缘叶脑炎（PLE）伴癫痫与快速进展认知障碍；最终病理证实食管旁SCLC。,肿瘤相关自身免疫（抗SOX1与抗GABA-B受体抗体）；免疫治疗（IVIG、激素等）,脑MRI初诊可无海马异常信号，复发后示海马异常；PET-CT提示高代谢；非CRCI机制研究设计,目的：提高对边缘叶脑炎合并抗体与隐匿SCLC的认识。结果：诊治经过显示认知障碍可为副肿瘤表现；强调肿瘤筛查与抗体检测。,血清/脑脊液抗体；癫痫与免疫治疗,
